年度,シナリオ,売上,固定費,変動費,営業利益,顧客数,ARPU,CAC
Year1,基本,2520000,360000,1080000,1080000,5,70000,50000
Year2,基本,5040000,480000,2160000,2400000,8,70000,50000
Year3,基本,8400000,600000,3600000,4200000,12,70000,50000
Year4,基本,13440000,720000,5760000,6960000,18,70000,50000
Year5,基本,21420000,960000,9180000,11280000,27,70000,50000
Year1,楽観,5760000,360000,1728000,3672000,8,100000,40000
Year2,楽観,14400000,600000,4320000,9480000,16,100000,40000
Year3,楽観,30720000,1200000,9216000,20304000,32,100000,40000
Year4,楽観,54000000,2400000,16200000,35400000,50,100000,40000
Year5,楽観,96000000,4800000,28800000,62400000,80,100000,40000
Year1,悲観,1080000,360000,648000,72000,3,50000,100000
Year2,悲観,1680000,400000,1008000,272000,4,50000,100000
Year3,悲観,2400000,440000,1440000,520000,5,50000,100000
Year4,悲観,3240000,480000,1944000,816000,6,50000,100000
Year5,悲観,4200000,520000,2520000,1160000,7,50000,100000
