フェーズ,タスクID,タスク名,担当,期限,優先度,完了条件,ステータス,備考
Phase A,MS-A1,税務署事前相談,ユーザー,Day 7,高,免許取得可否の確認・必要書類リスト入手,未着手,通信販売酒類小売業免許の取得可否確認
Phase A,MS-A2,仕入れ先リストアップ,AI,Day 14,高,5社以上の候補リスト作成,未着手,ワイナリー・インポーターのリストアップ
Phase A,MS-A3,仕入れ先交渉,ユーザー,Day 21,高,3社以上から取引可能回答,未着手,小ロット対応可能な仕入れ先確保
Phase A,MS-A4,ラベル印刷業者確定,AI+ユーザー,Day 21,高,単価500円以下での見積もり取得,未着手,カスタムラベル印刷業者の選定
Phase A,MS-A5,免許申請書類準備,ユーザー,Day 30,高,申請書類ドラフト完成,未着手,税務署への申請書類作成
Phase A,MS-A6,免許申請提出,ユーザー,Day 35,高,税務署への申請完了,未着手,申請書類提出
Phase A,MS-A7,商品サンプル制作,ユーザー,Day 45,高,撮影用サンプル完成,未着手,ワイン・ラベル・木箱のサンプル制作
Phase A,MS-A8,Makuakeプロジェクト準備,AI+ユーザー,Day 60,高,ページ骨子・リターン設計完了,未着手,プロジェクトページ・リターン設計
Phase B,MS-B1,Makuake審査通過,ユーザー,Day 70,高,プロジェクト公開承認,未着手,Makuake審査提出・承認
Phase B,MS-B2,事前告知開始,AI+ユーザー,Day 70,中,SNS・メールでの告知開始,未着手,Instagram・Twitter・LINE公式での告知
Phase B,MS-B3,Makuake開始,ユーザー,Day 90,高,プロジェクト公開,未着手,Makuakeプロジェクト公開
Phase B,MS-B4,初速達成,自動,Day 97,高,開始1週間で達成率30%以上,未着手,初動マーケティングの成果確認
Phase B,MS-B5,目標達成,自動,Day 120,高,達成率70%以上（42万円）,未着手,Makuake目標達成率70%以上
Phase B,MS-B6,Makuake終了,AI+ユーザー,Day 150,中,プロジェクト終了・結果分析,未着手,結果分析・Go/No-Go判定
Phase B,MS-B7,免許取得完了,ユーザー,Day 90-120,高,免許証受領,未着手,審査2ヶ月想定
Phase B,MS-B8,リターン履行,ユーザー,Day 180,高,支援者への商品発送完了,未着手,注文受付・制作・発送
Phase C,MS-C1,自社EC構築,AI+ユーザー,Day 180,高,Shopify本格稼働,未着手,ECサイト構築・決済設定
Phase C,MS-C2,月間販売10本達成,自動,Month 8,高,3ヶ月連続で月10本以上,未着手,継続的な月間10本販売
Phase C,MS-C3,月間販売20本達成,自動,Month 10,高,月20本 × 月商24万円,未着手,月間20本の販売達成
Phase C,MS-C4,CAC最適化,AI+ユーザー,Month 9,中,CAC 2,500円以下を達成,未着手,広告費最適化・チャネル見直し
Phase C,MS-C5,リピート施策開始,AI,Month 7,中,記念日リマインドシステム稼働,未着手,リマインドシステム構築・運用開始
Phase C,MS-C6,レビュー・UGC収集,自動,Month 10,中,顧客レビュー10件以上,未着手,レビュー依頼・UGC促進
